v DBInternal
# silvaco.file ASCII version=1.14.23 format=1 contents=SDB,Tables=1

Copyright "###################################################################"
Copyright "#                    Copyright Silvaco Inc. (c)                   #"
Copyright "#                            1992-2014                            #"
Copyright "#                                                                 #"
Copyright "# This file format and the following Key are copyright Silvaco    #"
Copyright "# International. You may not use, this format or key without      #"
Copyright "# reproducing this message in full and obtaining                  #"
Copyright "# express written permission from Silvaco Inc.                    #"
Copyright "#                                                                 #"
Copyright "# To obtain such permission please contact: Silvaco Inc.          #"
Copyright "#                                           support@silvaco.com   #"
Copyright "#                                                                 #"
Copyright "# KEY=SVC86hn7562asdx                       PROD=345              #"
Copyright "###################################################################"
#dbinternal 2.11.7.R (Thu Feb  8 16:02:37 GMT 2018)
#libSDB 1.12.42 (Thu Oct 26 19:20:24 PDT 2017)
p 4 10000 10001 10002 10003
d 1 1.000000000000001e+17 25e+6 0.000249001
d 2 2.8942661247167571e+17 25e+6 0.000249995
d 3 8.3767764006829453e+17 25e+6 0.000252886
d 4 2.4244620170823209e+18 25e+6 0.000261341
d 5 7.0170382867038147e+18 25e+6 0.000286594
d 6 2.0309176209047339e+19 25e+6 0.000365998
d 7 5.8780160722749153e+19 25e+6 0.0006446
d 8 1.701254279852591e+20 25e+6 0.00176142
d 9 4.9238826317067511e+20 25e+6 0.00610498
d 10 1.4251026703030029e+21 25e+6 0.0184705
d 11 4.1246263829013699e+21 25e+6 0.0410673
d 12 1.193776641714435e+22 25e+6 0.0677172
d 13 3.455107294592217e+22 25e+6 0.0877762
d 14 1.0000000000000009e+23 25e+6 0.0945241
d 15 1.000000000000001e+17 3e+7 2.5352699999999999e-05
d 16 2.8942661247167571e+17 3e+7 2.5493399999999999e-05
d 17 8.3767764006829453e+17 3e+7 2.59035e-05
d 18 2.4244620170823209e+18 3e+7 2.7112200000000001e-05
d 19 7.0170382867038147e+18 3e+7 3.0800299999999997e-05
d 20 2.0309176209047339e+19 3e+7 4.3084699999999998e-05
d 21 5.8780160722749153e+19 3e+7 9.2506700000000007e-05
d 22 1.701254279852591e+20 3e+7 0.000346924
d 23 4.9238826317067511e+20 3e+7 0.00170578
d 24 1.4251026703030029e+21 3e+7 0.00693311
d 25 4.1246263829013699e+21 3e+7 0.0192533
d 26 1.193776641714435e+22 3e+7 0.0373819
d 27 3.455107294592217e+22 3e+7 0.0546792
d 28 1.0000000000000009e+23 3e+7 0.0644638
d 29 1.000000000000001e+17 35e+6 2.5814899999999999e-06
d 30 2.8942661247167571e+17 35e+6 2.6000999999999999e-06
d 31 8.3767764006829453e+17 35e+6 2.6544899999999999e-06
d 32 2.4244620170823209e+18 35e+6 2.81616e-06
d 33 7.0170382867038147e+18 35e+6 3.32129e-06
d 34 2.0309176209047339e+19 35e+6 5.1143999999999997e-06
d 35 5.8780160722749153e+19 35e+6 1.35025e-05
d 36 1.701254279852591e+20 35e+6 7.0129599999999993e-05
d 37 4.9238826317067511e+20 35e+6 0.0004921
d 38 1.4251026703030029e+21 35e+6 0.00269324
d 39 4.1246263829013699e+21 35e+6 0.00933419
d 40 1.193776641714435e+22 35e+6 0.0212872
d 41 3.455107294592217e+22 35e+6 0.0350347
d 42 1.0000000000000009e+23 35e+6 0.045094
Q 10000 1 ex_id
Q 10001 1 doping
Q 10002 1 gamma
Q 10003 1 mobility
EOF 1270514867
