negative-differential
0 7 7
E Field
Carrier Density
Temperature
Monte Carlo Velocity
Model Velocity
Monte Carlo Mobility
Model Mobility
500 1e+14 300 4.48066e+06 4.3157e+06 8961.33 8631.4 
1000 1e+14 300 8.51209e+06 8.52897e+06 8512.09 8528.97 
1500 1e+14 300 1.19228e+07 1.2349e+07 7948.51 8232.67 
2000 1e+14 300 1.5108e+07 1.54644e+07 7554.01 7732.19 
2500 1e+14 300 1.72518e+07 1.76828e+07 6900.73 7073.12 
3000 1e+14 300 1.89864e+07 1.89907e+07 6328.79 6330.22 
3250 1e+14 300 1.94117e+07 1.93407e+07 5972.84 5951 
3500 1e+14 300 1.99216e+07 1.95197e+07 5691.9 5577.05 
3750 1e+14 300 1.97835e+07 1.95536e+07 5275.6 5214.29 
4000 1e+14 300 2.0027e+07 1.94682e+07 5006.75 4867.06 
4250 1e+14 300 1.9569e+07 1.92876e+07 4604.47 4538.26 
4500 1e+14 300 1.95245e+07 1.90332e+07 4338.78 4229.6 
4750 1e+14 300 1.91353e+07 1.87235e+07 4028.49 3941.8 
5000 1e+14 300 1.8458e+07 1.83743e+07 3691.61 3674.86 
5500 1e+14 300 1.75185e+07 1.7606e+07 3185.18 3201.1 
6000 1e+14 300 1.66434e+07 1.68035e+07 2773.9 2800.58 
6500 1e+14 300 1.58376e+07 1.60123e+07 2436.55 2463.42 
7000 1e+14 300 1.4859e+07 1.52579e+07 2122.72 2179.7 
7500 1e+14 300 1.40906e+07 1.45532e+07 1878.74 1940.42 
8000 1e+14 300 1.37983e+07 1.39029e+07 1724.79 1737.86 
8500 1e+14 300 1.30649e+07 1.33073e+07 1537.05 1565.56 
9000 1e+14 300 1.2744e+07 1.27641e+07 1416 1418.23 
9500 1e+14 300 1.2615e+07 1.22698e+07 1327.89 1291.55 
10000 1e+14 300 1.21246e+07 1.18202e+07 1212.46 1182.02 
