drain current vs drain bias
43 2 2
drain bias
drain current
0.1025 5.64871e-05
0.105 5.78378e-05
0.1075 5.91867e-05
0.11 6.05336e-05
0.2 0.000107597
0.3 0.000156238
0.4 0.000200635
0.5 0.000240515
0.6 0.000275708
0.7 0.000306148
0.8 0.000331881
0.9 0.000353079
1 0.000370039
1.1 0.000383173
1.2 0.000392991
1.3 0.000400078
1.4 0.000405082
1.5 0.000408645
1.6 0.000411348
1.7 0.000413919
1.8 0.000418334
1.9 0.000426939
2 0.000436793
2.1 0.000445801
2.2 0.000453803
2.3 0.000461211
2.4 0.000468531
2.5 0.000476269
2.6 0.000484835
2.7 0.000494522
2.8 0.000505502
2.9 0.000517908
3 0.000531806
3.1 0.000547321
3.2 0.000564683
3.3 0.000584224
3.4 0.000606278
3.5 0.000631534
3.6 0.000660879
3.7 0.000695544
3.8 0.000737309
3.9 0.000788769
4 0.000854067
