drain current vs drain bias
43 2 2
drain bias
drain current
0.1025 2.77072e-05
0.105 2.83499e-05
0.1075 2.8991e-05
0.11 2.96305e-05
0.2 5.15923e-05
0.3 7.35672e-05
0.4 9.29971e-05
0.5 0.000109925
0.6 0.000124421
0.7 0.000136584
0.8 0.00014654
0.9 0.000154447
1 0.000160497
1.1 0.000164927
1.2 0.000168026
1.3 0.000170122
1.4 0.00017154
1.5 0.000172538
1.6 0.000173286
1.7 0.000173884
1.8 0.000174386
1.9 0.000174823
2 0.000175215
2.1 0.000175574
2.2 0.000175916
2.3 0.000176253
2.4 0.000176605
2.5 0.000176992
2.6 0.000177437
2.7 0.000177965
2.8 0.000178601
2.9 0.00017937
3 0.000180295
3.1 0.000181394
3.2 0.000182684
3.3 0.00018418
3.4 0.000185898
3.5 0.000187855
3.6 0.000190073
3.7 0.000192577
3.8 0.000195401
3.9 0.000198591
4 0.000202197
