v ATLAS
# This file was created by ATLAS version 5.26.1.R on Thu Apr 19 17:11:13 2018.
#SSF 2.0 generic
##############################################################################
#                    Copyright (c) 1984 - 2018                               #
#                    Silvaco Inc. All rights reserved                        #
#                                                                            #
# This file format and the following Key are copyright Silvaco Inc.          #
# You may not use, this format or key without reproducing this message in    #
# full and obtaining express written permission from Silvaco Inc.            #
#                                                                            #
# To obtain such permission please contact: Silvaco Inc.                     #
#                                           support@silvaco.com              #
#                                                                            #
# KEY=SVC86hn7562asdx                       PROD=345                         #
##############################################################################
y 3 700 711 15
z 0.1 0.000992917 300
f 4 "gate" "source" "drain" "substrate" 
o 1 nettcharge
p 20 61 2 601 20 1006000 3 602 21 1006001 4 603 22 1006002 5 604 23 1006003 2232 2233 3000 
d 1.00000000000000e-12 1.600000000e-02 1.600000000e-02 4.149208775e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -6.125168398e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -6.125168396e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -2.924175095e-06 0.000000000e+00  0.000000000e+00 0.000000000e+00 -1.124644147e-48 
d 3.00000000000000e-12 4.800000000e-02 4.800000000e-02 4.067219706e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -4.102076351e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -4.102076339e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -3.246804438e-06 0.000000000e+00  0.000000000e+00 0.000000000e+00 -1.167979648e-48 
d 7.00000000000000e-12 1.120000000e-01 1.120000000e-01 4.012738754e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -4.460367596e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -4.460367592e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -3.120665236e-06 0.000000000e+00  0.000000000e+00 0.000000000e+00 -1.169333837e-48 
d 1.50000000000000e-11 2.400000000e-01 2.400000000e-01 3.913362406e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -4.619587163e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -4.619587159e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -2.989444974e-06 0.000000000e+00  0.000000000e+00 0.000000000e+00 -1.169376068e-48 
d 3.10000000000000e-11 4.960000000e-01 4.960000000e-01 3.746150889e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -4.999443470e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -4.999443487e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -2.746262192e-06 0.000000000e+00  0.000000000e+00 0.000000000e+00 -1.169376973e-48 
d 5.30241628712749e-11 8.483866059e-01 8.483866059e-01 3.572880552e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -5.460381518e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -5.460381535e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -2.480804248e-06 0.000000000e+00  0.000000000e+00 0.000000000e+00 -1.169619937e-48 
d 6.88047980709474e-11 1.100876769e+00 1.100876769e+00 3.481304611e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -5.778230613e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -5.778230617e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -2.325658488e-06 0.000000000e+00  0.000000000e+00 0.000000000e+00 -1.203268732e-48 
d 8.01521905143774e-11 1.282435048e+00 1.282435048e+00 3.465386154e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -6.330579349e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -6.330579373e-07 0.000000000e+00 0.000000000e+00 0.000000000e+00 -2.199270282e-06 0.000000000e+00  0.000000000e+00 0.000000000e+00 -4.812286417e-47 
d 9.73981991464093e-11 1.558371186e+00 1.558371186e+00 4.176817052e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -1.306760978e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -1.306761005e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -1.563295071e-06 0.000000000e+00  0.000000000e+00 0.000000000e+00 -5.049480195e-45 
d 1.31890216410473e-10 2.110243463e+00 2.110243463e+00 7.115905689e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -3.783935478e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -3.783935598e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 4.519653867e-07 0.000000000e+00  1.193424552e-39 0.000000000e+00 -1.220783482e-43 
d 1.91613418803238e-10 3.065814701e+00 3.065814701e+00 6.334198407e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -3.115709674e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -3.115709749e-06 0.000000000e+00 0.000000000e+00 0.000000000e+00 -1.027789840e-07 0.000000000e+00  7.628278738e-26 0.000000000e+00 -1.324965658e-36 
