v ATLAS
# This file was created by ATLAS version 5.26.1.R on Thu Apr 19 09:53:33 2018.
#SSF 2.0 generic
##############################################################################
#                    Copyright (c) 1984 - 2018                               #
#                    Silvaco Inc. All rights reserved                        #
#                                                                            #
# This file format and the following Key are copyright Silvaco Inc.          #
# You may not use, this format or key without reproducing this message in    #
# full and obtaining express written permission from Silvaco Inc.            #
#                                                                            #
# To obtain such permission please contact: Silvaco Inc.                     #
#                                           support@silvaco.com              #
#                                                                            #
# KEY=SVC86hn7562asdx                       PROD=345                         #
##############################################################################
p 2 309 310
d 0.35 4.27465
d 0.36 4.24129
d 0.37 4.20545
d 0.38 4.16706
d 0.39 4.12612
d 0.4 4.08268
d 0.41 4.0369
d 0.42 3.98903
d 0.43 3.93944
d 0.44 3.88857
d 0.45 3.83698
d 0.46 3.78524
d 0.47 3.73395
d 0.48 3.68369
d 0.49 3.63494
d 0.5 3.58812
d 0.51 3.54354
d 0.52 3.50138
d 0.53 3.46176
d 0.54 3.42471
d 0.55 3.39017
d 0.56 3.35807
d 0.57 3.32828
d 0.58 3.30066
d 0.59 3.27507
d 0.6 3.25136
d 0.61 3.22938
d 0.62 3.20899
d 0.63 3.19006
d 0.64 3.17245
d 0.65 3.15606
d 0.66 3.14079
d 0.67 3.12653
d 0.68 3.1132
d 0.69 3.10073
d 0.7 3.08903
d 0.71 3.07805
d 0.72 3.06773
d 0.73 3.05801
d 0.74 3.04885
d 0.75 3.0402
d 0.76 3.03202
d 0.77 3.02428
d 0.78 3.01695
d 0.79 3.00999
d 0.8 3.00338
d 0.81 2.9971
d 0.82 2.99111
d 0.83 2.98542
d 0.84 2.97998
d 0.85 2.97479
d 0.86 2.96983
d 0.87 2.96509
d 0.88 2.96054
d 0.89 2.95619
d 0.9 2.95202
d 0.91 2.94801
d 0.92 2.94417
d 0.93 2.94047
d 0.94 2.93692
d 0.95 2.9335
d 0.96 2.9302
d 0.97 2.92703
d 0.98 2.92396
d 0.99 2.92101
d 1 2.91815
