v ATLAS
# This file was created by ATLAS version 5.26.1.R on Thu Apr 19 09:53:33 2018.
#SSF 2.0 generic
##############################################################################
#                    Copyright (c) 1984 - 2018                               #
#                    Silvaco Inc. All rights reserved                        #
#                                                                            #
# This file format and the following Key are copyright Silvaco Inc.          #
# You may not use, this format or key without reproducing this message in    #
# full and obtaining express written permission from Silvaco Inc.            #
#                                                                            #
# To obtain such permission please contact: Silvaco Inc.                     #
#                                           support@silvaco.com              #
#                                                                            #
# KEY=SVC86hn7562asdx                       PROD=345                         #
##############################################################################
p 2 309 310
d 2.0664 1.064
d 1.90621 0.987875
d 1.76908 0.844
d 1.65035 0.672625
d 1.54655 0.514
d 1.45504 0.438563
d 1.37375 0.396
d 1.30107 0.36
d 1.23569 0.329
d 1.17656 0.287375
d 1.12284 0.251
d 1.07381 0.235375
d 1.02888 0.226
d 0.987557 0.212625
d 0.949427 0.198
d 0.914132 0.179875
d 0.881368 0.163
d 0.850871 0.151938
d 0.822413 0.145
d 0.795798 0.142563
d 0.770851 0.143
d 0.747421 0.145875
d 0.725373 0.148
d 0.704589 0.144313
d 0.684963 0.14
d 0.6664 0.140063
d 0.648817 0.14
d 0.632138 0.136125
d 0.616295 0.131
d 0.601226 0.1255
d 0.586877 0.121
d 0.573197 0.119313
d 0.56014 0.12
d 0.547665 0.124375
d 0.535733 0.129
d 0.52431 0.130063
d 0.513365 0.13
d 0.502866 0.129938
d 0.492789 0.13
d 0.483107 0.13025
d 0.473799 0.132
d 0.464842 0.137313
d 0.456218 0.144
d 0.447908 0.151063
d 0.439896 0.157
d 0.432164 0.1585
d 0.424701 0.16
d 0.41749 0.166688
d 0.41052 0.173
d 0.403779 0.172625
d 0.397256 0.173
d 0.390941 0.182
d 0.384823 0.192
d 0.378893 0.198063
d 0.373144 0.2
d 0.367566 0.192063
d 0.362153 0.186
d 0.356896 0.194813
d 0.351791 0.209
d 0.346829 0.221438
d 0.342005 0.238
d 0.337314 0.253313
d 0.332749 0.294
d 0.328307 0.388125
d 0.323981 0.526
d 0.319768 0.719062
d 0.315663 0.932
d 0.311662 1.14206
d 0.307762 1.323
d 0.303957 1.4325
d 0.300246 1.496
d 0.296624 1.51937
d 0.293089 1.519
d 0.289637 1.51356
d 0.286265 1.502
d 0.282971 1.49012
d 0.279752 1.476
d 0.276605 1.45919
d 0.273528 1.441
d 0.270519 1.42231
d 0.267575 1.404
d 0.264695 1.3875
d 0.261876 1.372
d 0.259117 1.35694
d 0.256415 1.343
d 0.253768 1.33106
d 0.251176 1.32
d 0.248637 1.30856
d 0.246148 1.298
d 0.243708 1.28969
d 0.241317 1.282
d 0.238971 1.27344
d 0.236671 1.265
d 0.234415 1.25719
d 0.232202 1.25
d 0.23003 1.244
d 0.227898 1.238
d 0.225805 1.23069
d 0.22375 1.223
d 0.221733 1.21569
d 0.219751 1.208
d 0.217805 1.19912
d 0.215893 1.19
d 0.214014 1.18188
d 0.212167 1.173
d 0.210352 1.16144
d 0.208568 1.149
d 0.206814 1.13719
d 0.205089 1.125
d 0.203393 1.11163
d 0.201724 1.098
d 0.200083 1.08481
d 0.198468 1.072
d 0.196879 1.05963
d 0.195315 1.048
d 0.193776 1.0375
d 0.192261 1.028
d 0.190769 1.0195
d 0.189301 1.012
d 0.187855 1.00425
