v ATLAS
# This file was created by ATLAS version 5.26.1.R on Thu Apr 19 09:53:33 2018.
#SSF 2.0 generic
##############################################################################
#                    Copyright (c) 1984 - 2018                               #
#                    Silvaco Inc. All rights reserved                        #
#                                                                            #
# This file format and the following Key are copyright Silvaco Inc.          #
# You may not use, this format or key without reproducing this message in    #
# full and obtaining express written permission from Silvaco Inc.            #
#                                                                            #
# To obtain such permission please contact: Silvaco Inc.                     #
#                                           support@silvaco.com              #
#                                                                            #
# KEY=SVC86hn7562asdx                       PROD=345                         #
##############################################################################
p 2 309 310
d 0.35 5.38916
d 0.36 5.36766
d 0.37 5.34461
d 0.38 5.31988
d 0.39 5.29333
d 0.4 5.26481
d 0.41 5.23419
d 0.42 5.20131
d 0.43 5.16605
d 0.44 5.12827
d 0.45 5.08791
d 0.46 5.0449
d 0.47 4.99924
d 0.48 4.95102
d 0.49 4.90038
d 0.5 4.84758
d 0.51 4.79295
d 0.52 4.73693
d 0.53 4.67585
d 0.54 4.6137
d 0.55 4.5541
d 0.56 4.49732
d 0.57 4.44353
d 0.58 4.39283
d 0.59 4.34521
d 0.6 4.30061
d 0.61 4.25893
d 0.62 4.22003
d 0.63 4.18377
d 0.64 4.14997
d 0.65 4.11848
d 0.66 4.08911
d 0.67 4.06172
d 0.68 4.03615
d 0.69 4.01227
d 0.7 3.98992
d 0.71 3.969
d 0.72 3.94939
d 0.73 3.93099
d 0.74 3.91369
d 0.75 3.89742
d 0.76 3.88209
d 0.77 3.86763
d 0.78 3.85397
d 0.79 3.84106
d 0.8 3.82884
d 0.81 3.81725
d 0.82 3.80627
d 0.83 3.79583
d 0.84 3.78591
d 0.85 3.77646
d 0.86 3.76746
d 0.87 3.75888
d 0.88 3.75069
d 0.89 3.74286
d 0.9 3.73538
d 0.91 3.72821
d 0.92 3.72135
d 0.93 3.71477
d 0.94 3.70846
d 0.95 3.7024
d 0.96 3.69658
d 0.97 3.69098
d 0.98 3.68559
d 0.99 3.68041
d 1 3.67541
