caughey-thomas
0 7 7
E Field
Carrier Density
Temperature
Monte Carlo Velocity
Model Velocity
Monte Carlo Mobility
Model Mobility
500 1e+14 300 610463 614976 1220.93 1229.95 
1000 1e+14 300 1.16764e+06 1.18971e+06 1167.64 1189.71 
1500 1e+14 300 1.73706e+06 1.72146e+06 1158.04 1147.64 
2000 1e+14 300 2.26344e+06 2.21132e+06 1131.72 1105.66 
2500 1e+14 300 2.64978e+06 2.66175e+06 1059.91 1064.7 
3000 1e+14 300 3.05296e+06 3.07571e+06 1017.65 1025.24 
3500 1e+14 300 3.40812e+06 3.45626e+06 973.748 987.504 
4000 1e+14 300 3.79265e+06 3.80639e+06 948.162 951.599 
5000 1e+14 300 4.43295e+06 4.42642e+06 886.59 885.285 
6000 1e+14 300 4.90662e+06 4.95564e+06 817.77 825.94 
7000 1e+14 300 5.40108e+06 5.41033e+06 771.583 772.904 
8000 1e+14 300 5.74855e+06 5.80364e+06 718.569 725.455 
9000 1e+14 300 6.15803e+06 6.14612e+06 684.226 682.903 
10000 1e+14 300 6.36826e+06 6.44625e+06 636.826 644.625 
11000 1e+14 300 6.74764e+06 6.71084e+06 613.421 610.076 
12000 1e+14 300 6.87708e+06 6.94541e+06 573.09 578.784 
13000 1e+14 300 7.13976e+06 7.15448e+06 549.212 550.344 
14000 1e+14 300 7.38666e+06 7.34171e+06 527.619 524.408 
15000 1e+14 300 7.5738e+06 7.51017e+06 504.92 500.678 
16000 1e+14 300 7.67734e+06 7.66238e+06 479.834 478.899 
17000 1e+14 300 7.78739e+06 7.80045e+06 458.082 458.85 
18000 1e+14 300 7.99576e+06 7.92616e+06 444.209 440.342 
19000 1e+14 300 8.09866e+06 8.04101e+06 426.245 423.211 
20000 1e+14 300 8.22361e+06 8.14628e+06 411.181 407.314 
