v ATLAS
# This file was created by ATLAS version 5.26.1.R on Mon Apr 16 16:32:08 2018.
#SSF 2.0 generic
##############################################################################
#                    Copyright (c) 1984 - 2018                               #
#                    Silvaco Inc. All rights reserved                        #
#                                                                            #
# This file format and the following Key are copyright Silvaco Inc.          #
# You may not use, this format or key without reproducing this message in    #
# full and obtaining express written permission from Silvaco Inc.            #
#                                                                            #
# To obtain such permission please contact: Silvaco Inc.                     #
#                                           support@silvaco.com              #
#                                                                            #
# KEY=SVC86hn7562asdx                       PROD=345                         #
##############################################################################
y 3 700 711 15
z 0 1e+41 300
f 4 "gate" "source" "drain" "substrate" 
p 16 61 2 601 20 3 602 21 4 603 22 5 604 23 502 503 505 
d 1.00000000000000e-12 0.000000000e+00 0.000000000e+00 -9.104468955e-07 0.000000000e+00 0.000000000e+00 -9.854251187e-07 5.000000000e+00 5.000000000e+00 9.557476647e-06 0.000000000e+00 0.000000000e+00 -7.661606749e-06  1.736288629e-16 1.736288629e-16 1.083697593e+15 
d 2.00000000000000e-12 0.000000000e+00 0.000000000e+00 -3.351725465e-06 0.000000000e+00 0.000000000e+00 -3.861189337e-06 5.000000000e+00 5.000000000e+00 4.492917888e-05 0.000000000e+00 0.000000000e+00 -3.771626752e-05  6.060242788e-16 7.796531416e-16 3.782476260e+15 
d 3.00000000000000e-12 0.000000000e+00 0.000000000e+00 -6.672455431e-06 0.000000000e+00 0.000000000e+00 -8.170106939e-06 5.000000000e+00 5.000000000e+00 1.239920436e-04 0.000000000e+00 0.000000000e+00 -1.091494677e-04  1.282953408e-15 2.062606550e-15 8.007502306e+15 
d 4.00000000000000e-12 0.000000000e+00 0.000000000e+00 -9.135883267e-06 0.000000000e+00 0.000000000e+00 -1.195200721e-05 5.000000000e+00 5.000000000e+00 2.259113041e-04 0.000000000e+00 0.000000000e+00 -2.048234162e-04  1.647344785e-15 3.709951334e-15 1.028183649e+16 
d 5.00000000000000e-12 0.000000000e+00 0.000000000e+00 -9.985465250e-06 0.000000000e+00 0.000000000e+00 -1.396248406e-05 5.000000000e+00 5.000000000e+00 2.982445264e-04 0.000000000e+00 0.000000000e+00 -2.742980677e-04  1.282953408e-15 4.992904743e-15 8.007502306e+15 
d 6.00000000000000e-12 0.000000000e+00 0.000000000e+00 -9.569263872e-06 0.000000000e+00 0.000000000e+00 -1.425628924e-05 5.000000000e+00 5.000000000e+00 3.188518289e-04 0.000000000e+00 0.000000000e+00 -2.950262684e-04  6.060242788e-16 5.598929021e-15 3.782476260e+15 
d 7.00000000000000e-12 0.000000000e+00 0.000000000e+00 -8.588087468e-06 0.000000000e+00 0.000000000e+00 -1.350160540e-05 5.000000000e+00 5.000000000e+00 3.066686455e-04 0.000000000e+00 0.000000000e+00 -2.845789099e-04  1.736288629e-16 5.772557884e-15 1.083697593e+15 
d 8.00000000000000e-12 0.000000000e+00 0.000000000e+00 -7.552845473e-06 0.000000000e+00 0.000000000e+00 -1.231888878e-05 5.000000000e+00 5.000000000e+00 2.841698110e-04 0.000000000e+00 0.000000000e+00 -2.643029197e-04  3.017217220e-17 5.802730057e-15 1.883184042e+14 
d 9.00000000000000e-12 0.000000000e+00 0.000000000e+00 -6.630649885e-06 0.000000000e+00 0.000000000e+00 -1.100908061e-05 5.000000000e+00 5.000000000e+00 2.611717918e-04 0.000000000e+00 0.000000000e+00 -2.435320633e-04  3.180123553e-18 5.805910180e-15 1.984861377e+13 
d 1.00000000000000e-11 0.000000000e+00 0.000000000e+00 -5.809445338e-06 0.000000000e+00 0.000000000e+00 -9.678894547e-06 5.000000000e+00 5.000000000e+00 2.400947820e-04 0.000000000e+00 0.000000000e+00 -2.246064423e-04  2.032984971e-19 5.806113479e-15 1.268879426e+12 
d 1.10000000000000e-11 0.000000000e+00 0.000000000e+00 -5.044058699e-06 0.000000000e+00 0.000000000e+00 -8.352409146e-06 5.000000000e+00 5.000000000e+00 2.211755194e-04 0.000000000e+00 0.000000000e+00 -2.077790688e-04  7.882738180e-21 5.806121361e-15 4.919979459e+10 
